===============================================================================
Id,backtest-ma-orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
11,backtest-ma-orcl-1995-2014,11,2000-01-18 23:59:59.999989,23.99,25.46,23.49,24.74,75076722.0,0.0,24.738943,TestStrategy,11,730137.9999999999,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,backtest-ma-orcl-1995-2014,12,2000-01-19 23:59:59.999989,24.96,25.91,24.02,25.41,55310781.0,0.0,25.406065,TestStrategy,12,730138.9999999999,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,backtest-ma-orcl-1995-2014,13,2000-01-20 23:59:59.999989,26.24,26.8,25.85,26.35,61301186.0,0.0,26.351145,TestStrategy,13,730139.9999999999,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,backtest-ma-orcl-1995-2014,14,2000-01-21 23:59:59.999989,27.35,27.35,26.24,26.55,57213676.0,0.0,26.545721,TestStrategy,14,730140.9999999999,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,backtest-ma-orcl-1995-2014,15,2000-01-24 23:59:59.999989,26.8,26.85,24.02,24.1,56237153.0,0.0,24.099627,TestStrategy,15,730143.9999999999,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,backtest-ma-orcl-1995-2014,16,2000-01-25 23:59:59.999989,24.49,25.57,24.41,25.1,59651251.0,0.0,25.1003,TestStrategy,16,730144.9999999999,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,backtest-ma-orcl-1995-2014,17,2000-01-26 23:59:59.999989,25.24,26.21,24.46,24.49,53479177.0,0.0,24.488775,TestStrategy,17,730145.9999999999,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,backtest-ma-orcl-1995-2014,18,2000-01-27 23:59:59.999989,24.82,25.21,22.24,23.04,68639316.0,0.0,23.043356,TestStrategy,18,730146.9999999999,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,backtest-ma-orcl-1995-2014,19,2000-01-28 23:59:59.999989,22.9,23.1,20.74,21.07,97127546.0,0.0,21.069799,TestStrategy,19,730147.9999999999,Broker,19,1000.0,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,backtest-ma-orcl-1995-2014,20,2000-01-31 23:59:59.999989,21.32,22.29,20.93,22.22,76614677.0,0.0,22.216394,TestStrategy,20,730150.9999999999,Broker,20,1000.0,1000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,backtest-ma-orcl-1995-2014,21,2000-02-01 23:59:59.999989,22.79,24.16,22.24,24.02,64200376.0,0.0,24.016233,TestStrategy,21,730151.9999999999,Broker,21,1000.0,1000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,backtest-ma-orcl-1995-2014,22,2000-02-02 23:59:59.999989,24.43,24.91,24.02,24.16,71876009.0,0.0,24.155216,TestStrategy,22,730152.9999999999,Broker,22,1000.0,1000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,backtest-ma-orcl-1995-2014,23,2000-02-03 23:59:59.999989,24.63,25.35,24.13,25.21,62432623.0,0.0,25.211485,TestStrategy,23,730153.9999999999,Broker,23,1000.0,1000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,backtest-ma-orcl-1995-2014,24,2000-02-04 23:59:59.999989,25.63,25.91,25.27,25.71,45999388.0,0.0,25.711823,TestStrategy,24,730154.9999999999,Broker,24,1000.0,1000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,backtest-ma-orcl-1995-2014,25,2000-02-07 23:59:59.999989,26.38,26.68,26.18,26.66,50243618.0,0.0,26.656906,TestStrategy,25,730157.9999999999,Broker,25,1000.0,1000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,backtest-ma-orcl-1995-2014,26,2000-02-08 23:59:59.999989,27.02,27.32,26.24,26.49,62640385.0,0.0,26.490126,TestStrategy,26,730158.9999999999,Broker,26,1000.0,1000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,backtest-ma-orcl-1995-2014,27,2000-02-09 23:59:59.999989,26.71,27.27,26.16,26.66,58990652.0,0.0,26.656906,TestStrategy,27,730159.9999999999,Broker,27,1000.0,1000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,backtest-ma-orcl-1995-2014,28,2000-02-10 23:59:59.999989,26.68,27.85,25.8,27.71,50915236.0,0.0,27.713177,TestStrategy,28,730160.9999999999,Broker,28,1000.0,1000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,backtest-ma-orcl-1995-2014,29,2000-02-11 23:59:59.999989,27.8,28.8,26.13,26.55,62703338.0,0.0,26.545721,TestStrategy,29,730161.9999999999,Broker,29,1000.0,1000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,backtest-ma-orcl-1995-2014,30,2000-02-14 23:59:59.999989,27.07,27.69,26.07,27.66,42271184.0,0.0,27.657583,TestStrategy,30,730164.9999999999,Broker,30,1000.0,1000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,backtest-ma-orcl-1995-2014,31,2000-02-15 23:59:59.999989,27.41,28.1,26.3,27.3,53931343.0,0.0,27.29623,TestStrategy,31,730165.9999999999,Broker,31,1000.0,1000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,backtest-ma-orcl-1995-2014,32,2000-02-16 23:59:59.999989,27.13,27.82,26.74,27.24,37649884.0,0.0,27.240635,TestStrategy,32,730166.9999999999,Broker,32,1000.0,1000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,backtest-ma-orcl-1995-2014,33,2000-02-17 23:59:59.999989,27.46,27.91,26.68,27.41,45410942.0,0.0,27.407425,TestStrategy,33,730167.9999999999,Broker,33,1000.0,1000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,backtest-ma-orcl-1995-2014,34,2000-02-18 23:59:59.999989,27.44,27.57,25.96,26.05,71825867.0,0.0,26.045383,TestStrategy,34,730168.9999999999,Broker,34,1000.0,1000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,backtest-ma-orcl-1995-2014,35,2000-02-22 23:59:59.999989,26.3,27.32,25.04,26.38,84932020.0,0.0,26.378944,TestStrategy,35,730172.9999999999,Broker,35,1000.0,1000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,backtest-ma-orcl-1995-2014,36,2000-02-23 23:59:59.999989,26.77,28.14,26.52,28.05,78319480.0,0.0,28.046734,TestStrategy,36,730173.9999999999,Broker,36,732.3,1012.8,BuySell,36,26.1222,,Trades - Net Profit/Loss,36,,
37,backtest-ma-orcl-1995-2014,37,2000-02-24 23:59:59.999989,28.1,28.94,26.8,27.55,79779630.0,0.0,27.5464,TestStrategy,37,730174.9999999999,Broker,37,732.3,1007.8,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,backtest-ma-orcl-1995-2014,38,2000-02-25 23:59:59.999989,27.52,31.58,27.52,31.41,116006445.0,0.0,31.410124,TestStrategy,38,730175.9999999999,Broker,38,732.3,1046.4,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,backtest-ma-orcl-1995-2014,39,2000-02-28 23:59:59.999989,31.69,34.02,30.35,30.52,137513135.0,0.0,30.520636,TestStrategy,39,730178.9999999999,Broker,39,732.3,1037.5,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,backtest-ma-orcl-1995-2014,40,2000-02-29 23:59:59.999989,32.63,33.11,31.63,33.02,62492412.0,0.0,33.022331,TestStrategy,40,730179.9999999999,Broker,40,732.3,1062.5,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,backtest-ma-orcl-1995-2014,41,2000-03-01 23:59:59.999989,32.8,33.13,31.47,31.8,50517024.0,0.0,31.799276,TestStrategy,41,730180.9999999999,Broker,41,732.3,1050.3,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,backtest-ma-orcl-1995-2014,42,2000-03-02 23:59:59.999989,32.69,32.72,30.19,30.47,58810111.0,0.0,30.465029,TestStrategy,42,730181.9999999999,Broker,42,732.3,1037.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,backtest-ma-orcl-1995-2014,43,2000-03-03 23:59:59.999989,31.63,33.41,31.21,33.36,53934748.0,0.0,33.355862,TestStrategy,43,730182.9999999999,Broker,43,732.3,1065.9,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,backtest-ma-orcl-1995-2014,44,2000-03-06 23:59:59.999989,33.27,34.22,32.19,33.69,51176067.0,0.0,33.689434,TestStrategy,44,730185.9999999999,Broker,44,732.3,1069.1999999999998,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,backtest-ma-orcl-1995-2014,45,2000-03-07 23:59:59.999989,34.08,35.58,33.08,33.33,60688898.0,0.0,33.328098,TestStrategy,45,730186.9999999999,Broker,45,732.3,1065.6,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,backtest-ma-orcl-1995-2014,46,2000-03-08 23:59:59.999989,34.41,37.16,33.36,36.97,70581103.0,0.0,36.969437,TestStrategy,46,730187.9999999999,Broker,46,732.3,1102.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,backtest-ma-orcl-1995-2014,47,2000-03-09 23:59:59.999989,37.5,37.8,35.64,37.36,63492998.0,0.0,37.358589,TestStrategy,47,730188.9999999999,Broker,47,732.3,1105.9,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,backtest-ma-orcl-1995-2014,48,2000-03-10 23:59:59.999989,37.36,37.39,35.69,36.3,50253264.0,0.0,36.30233,TestStrategy,48,730189.9999999999,Broker,48,732.3,1095.3,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,backtest-ma-orcl-1995-2014,49,2000-03-13 23:59:59.999989,34.91,37.19,34.15,35.02,73978569.0,0.0,35.02367,TestStrategy,49,730192.9999999999,Broker,49,732.3,1082.5,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,backtest-ma-orcl-1995-2014,50,2000-03-14 23:59:59.999989,36.41,37.25,34.02,34.25,81354448.0,0.0,34.24538,TestStrategy,50,730193.9999999999,Broker,50,732.3,1074.8,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,backtest-ma-orcl-1995-2014,51,2000-03-15 23:59:59.999989,37.36,37.8,34.25,34.97,162801608.0,0.0,34.968075,TestStrategy,51,730194.9999999999,Broker,51,732.3,1082.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,backtest-ma-orcl-1995-2014,52,2000-03-16 23:59:59.999989,35.89,36.72,34.11,36.44,107401303.0,0.0,36.441299,TestStrategy,52,730195.9999999999,Broker,52,732.3,1096.6999999999998,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,backtest-ma-orcl-1995-2014,53,2000-03-17 23:59:59.999989,36.36,36.47,35.36,35.5,74261854.0,0.0,35.496223,TestStrategy,53,730196.9999999999,Broker,53,732.3,1087.3,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,backtest-ma-orcl-1995-2014,54,2000-03-20 23:59:59.999989,35.8,35.86,34.5,34.75,53045681.0,0.0,34.745701,TestStrategy,54,730199.9999999999,Broker,54,732.3,1079.8,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,backtest-ma-orcl-1995-2014,55,2000-03-21 23:59:59.999989,34.63,35.97,33.8,35.89,59159053.0,0.0,35.885372,TestStrategy,55,730200.9999999999,Broker,55,732.3,1091.1999999999998,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,backtest-ma-orcl-1995-2014,56,2000-03-22 23:59:59.999989,36.02,37.53,35.08,37.39,59806845.0,0.0,37.386383,TestStrategy,56,730201.9999999999,Broker,56,732.3,1106.1999999999998,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,backtest-ma-orcl-1995-2014,57,2000-03-23 23:59:59.999989,36.97,39.14,36.72,38.64,57115644.0,0.0,38.637226,TestStrategy,57,730202.9999999999,Broker,57,732.3,1118.6999999999998,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,backtest-ma-orcl-1995-2014,58,2000-03-24 23:59:59.999989,38.61,39.89,38.44,38.69,59384137.0,0.0,38.692818,TestStrategy,58,730203.9999999999,Broker,58,732.3,1119.1999999999998,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,backtest-ma-orcl-1995-2014,59,2000-03-27 23:59:59.999989,39.61,39.72,38.67,39.33,36647052.0,0.0,39.332153,TestStrategy,59,730206.9999999999,Broker,59,732.3,1125.6,BuySell,59,,,Trades - Net Profit/Loss,59,,
